U+030000: 𰀀
U+030001: 𰀁
U+030002: 𰀂
U+030003: 𰀃
U+030004: 𰀄
U+030005: 𰀅
U+030006: 𰀆
U+030007: 𰀇
U+030008: 𰀈
U+030009: 𰀉
U+03000A: 𰀊
U+03000B: 𰀋
U+03000C: 𰀌
U+03000D: 𰀍
U+03000E: 𰀎
U+03000F: 𰀏
U+030010: 𰀐
U+030011: 𰀑
U+030012: 𰀒
U+030013: 𰀓
U+030014: 𰀔
U+030015: 𰀕
U+030016: 𰀖
U+030017: 𰀗
U+030018: 𰀘
U+030019: 𰀙
U+03001A: 𰀚
U+03001B: 𰀛
U+03001C: 𰀜
U+03001D: 𰀝
U+03001E: 𰀞
U+03001F: 𰀟
U+030020: 𰀠
U+030021: 𰀡
U+030022: 𰀢
U+030023: 𰀣
U+030024: 𰀤
U+030025: 𰀥
U+030026: 𰀦
U+030027: 𰀧
U+030028: 𰀨
U+030029: 𰀩
U+03002A: 𰀪
U+03002B: 𰀫
U+03002C: 𰀬
U+03002D: 𰀭
U+03002E: 𰀮
U+03002F: 𰀯
U+030030: 𰀰
U+030031: 𰀱
U+030032: 𰀲
U+030033: 𰀳
U+030034: 𰀴
U+030035: 𰀵
U+030036: 𰀶
U+030037: 𰀷
U+030038: 𰀸
U+030039: 𰀹
U+03003A: 𰀺
U+03003B: 𰀻
U+03003C: 𰀼
U+03003D: 𰀽
U+03003E: 𰀾
U+03003F: 𰀿
U+030040: 𰁀
U+030041: 𰁁
U+030042: 𰁂
U+030043: 𰁃
U+030044: 𰁄
U+030045: 𰁅
U+030046: 𰁆
U+030047: 𰁇
U+030048: 𰁈
U+030049: 𰁉
U+03004A: 𰁊
U+03004B: 𰁋
U+03004C: 𰁌
U+03004D: 𰁍
U+03004E: 𰁎
U+03004F: 𰁏
U+030050: 𰁐
U+030051: 𰁑
U+030052: 𰁒
U+030053: 𰁓
U+030054: 𰁔
U+030055: 𰁕
U+030056: 𰁖
U+030057: 𰁗
U+030058: 𰁘
U+030059: 𰁙
U+03005A: 𰁚
U+03005B: 𰁛
U+03005C: 𰁜
U+03005D: 𰁝
U+03005E: 𰁞
U+03005F: 𰁟
U+030060: 𰁠
U+030061: 𰁡
U+030062: 𰁢
U+030063: 𰁣
U+030064: 𰁤
U+030065: 𰁥
U+030066: 𰁦
U+030067: 𰁧
U+030068: 𰁨
U+030069: 𰁩
U+03006A: 𰁪
U+03006B: 𰁫
U+03006C: 𰁬
U+03006D: 𰁭
U+03006E: 𰁮
U+03006F: 𰁯
U+030070: 𰁰
U+030071: 𰁱
U+030072: 𰁲
U+030073: 𰁳
U+030074: 𰁴
U+030075: 𰁵
U+030076: 𰁶
U+030077: 𰁷
U+030078: 𰁸
U+030079: 𰁹
U+03007A: 𰁺
U+03007B: 𰁻
U+03007C: 𰁼
U+03007D: 𰁽
U+03007E: 𰁾
U+03007F: 𰁿
U+030080: 𰂀
U+030081: 𰂁
U+030082: 𰂂
U+030083: 𰂃
U+030084: 𰂄
U+030085: 𰂅
U+030086: 𰂆
U+030087: 𰂇
U+030088: 𰂈
U+030089: 𰂉
U+03008A: 𰂊
U+03008B: 𰂋
U+03008C: 𰂌
U+03008D: 𰂍
U+03008E: 𰂎
U+03008F: 𰂏
U+030090: 𰂐
U+030091: 𰂑
U+030092: 𰂒
U+030093: 𰂓
U+030094: 𰂔
U+030095: 𰂕
U+030096: 𰂖
U+030097: 𰂗
U+030098: 𰂘
U+030099: 𰂙
U+03009A: 𰂚
U+03009B: 𰂛
U+03009C: 𰂜
U+03009D: 𰂝
U+03009E: 𰂞
U+03009F: 𰂟
U+0300A0: 𰂠
U+0300A1: 𰂡
U+0300A2: 𰂢
U+0300A3: 𰂣
U+0300A4: 𰂤
U+0300A5: 𰂥
U+0300A6: 𰂦
U+0300A7: 𰂧
U+0300A8: 𰂨
U+0300A9: 𰂩
U+0300AA: 𰂪
U+0300AB: 𰂫
U+0300AC: 𰂬
U+0300AD: 𰂭
U+0300AE: 𰂮
U+0300AF: 𰂯
U+0300B0: 𰂰
U+0300B1: 𰂱
U+0300B2: 𰂲
U+0300B3: 𰂳
U+0300B4: 𰂴
U+0300B5: 𰂵
U+0300B6: 𰂶
U+0300B7: 𰂷
U+0300B8: 𰂸
U+0300B9: 𰂹
U+0300BA: 𰂺
U+0300BB: 𰂻
U+0300BC: 𰂼
U+0300BD: 𰂽
U+0300BE: 𰂾
U+0300BF: 𰂿
U+0300C0: 𰃀
U+0300C1: 𰃁
U+0300C2: 𰃂
U+0300C3: 𰃃
U+0300C4: 𰃄
U+0300C5: 𰃅
U+0300C6: 𰃆
U+0300C7: 𰃇
U+0300C8: 𰃈
U+0300C9: 𰃉
U+0300CA: 𰃊
U+0300CB: 𰃋
U+0300CC: 𰃌
U+0300CD: 𰃍
U+0300CE: 𰃎
U+0300CF: 𰃏
U+0300D0: 𰃐
U+0300D1: 𰃑
U+0300D2: 𰃒
U+0300D3: 𰃓
U+0300D4: 𰃔
U+0300D5: 𰃕
U+0300D6: 𰃖
U+0300D7: 𰃗
U+0300D8: 𰃘
U+0300D9: 𰃙
U+0300DA: 𰃚
U+0300DB: 𰃛
U+0300DC: 𰃜
U+0300DD: 𰃝
U+0300DE: 𰃞
U+0300DF: 𰃟
U+0300E0: 𰃠
U+0300E1: 𰃡
U+0300E2: 𰃢
U+0300E3: 𰃣
U+0300E4: 𰃤
U+0300E5: 𰃥
U+0300E6: 𰃦
U+0300E7: 𰃧
U+0300E8: 𰃨
U+0300E9: 𰃩
U+0300EA: 𰃪
U+0300EB: 𰃫
U+0300EC: 𰃬
U+0300ED: 𰃭
U+0300EE: 𰃮
U+0300EF: 𰃯
U+0300F0: 𰃰
U+0300F1: 𰃱
U+0300F2: 𰃲
U+0300F3: 𰃳
U+0300F4: 𰃴
U+0300F5: 𰃵
U+0300F6: 𰃶
